848;Nouveaut;26;Moment d'un couple [Texte imprim];Alard, Nelly
852;DVD tous publics;26;Il tait temps [Images animes];
853;DVD tous publics;26;Masters of Sex [Images animes];
856;Livre adulte;26;L'essentiel du Japon [Texte imprim];
860;DVD tous publics;26;Rio 2 [Images animes];
862;Bande dessine jeunesse;26;Love so life [Texte imprim]. 10;Kouchi, Kaede
875;Livre adulte;25;Iles grecques et Athnes [Texte imprim] : sans la Crte et les les Ioniennes;Gloaguen, Philippe
881;Livre adulte;25;Dora Bruder [Texte imprim];Modiano, Patrick
891;Livre adulte;25;Mditer pour ne plus dprimer : la pleine conscience, une mthode pour vivre mieux;
895;DVD tous publics;25;A Dangerous Method [Images animes];
901;Livre adulte;25;Danemark, Sude : 2013-2014;Gloaguen, Philippe
911;Bande dessine adulte;25;Saga [Texte imprim]. 3;Vaughan, Brian K.
912;Livre adulte;25;L'intestin, notre deuxime cerveau [Texte imprim];Joly, Francisca
923;;25;Voyage de classes [Texte imprim] : des tudiants de Seine-Saint-Denis enqutent dans les beaux quartiers;Jounin, Nicolas
927;Nouveaut;25;Six fourmis blanches [Texte imprim];Collette, Sandrine
930;Nouveaut;24;Avis non autoriss... [Texte imprim];Hardy, Franoise
937;DVD tous publics;24;Bamako [Images animes];Sissako, Abderrahmane
941;Livre adulte;24;Les particules lmentaires [Texte imprim];Houellebecq, Michel
942;Livre adulte;24;Rien de grave [Texte imprim] : roman;Lvy, Justine
945;Livre jeunesse;24;Chute libre;Muchamore, Robert
953;Livre adulte;24;Ecosse : 2013-2014;Gloaguen, Philippe
956;Nouveaut;24;Esprit d'hiver [Texte imprim];Kasischke, Laura
960;Nouveaut;24;S'abandonner  vivre [Texte imprim];Tesson, Sylvain
963;Livre adulte;24;Sept annes de bonheur [Texte imprim];Keret, Etgar
5;;381;Temps glaciaires [Texte imprim];Vargas, Fred
17;DVD tous publics;194;The Grand Budapest Hotel [Images animes];
21;Livre ado;182;La terre brle;Dashner, James
22;DVD tous publics;179;Qu'est-ce qu'on a fait au Bon Dieu? [Images animes];
32;Livre adulte;149;Muchachas : roman. 3 [Texte imprim];Pancol, Katherine
35;Nouveaut;147;Le suicide franais : ces quarante annes qui ont dfait la France;Zemmour, ric
44;DVD tous publics;137;Gone girl [Images animes];
46;Nouveaut;135;Elle et lui [Texte imprim] : roman;Lvy, Marc
47;Livre adulte;135;Japon [texte imprim];
51;DVD tous publics;130;Le loup de Wall Street [Images animes];
55;DVD tous publics;121;Tom  la ferme [Images animes];
64;DVD tous publics;114;Ida [Images animes];
65;DVD tous publics;114;Une nouvelle amie [Images animes];
67;;113;Divergente : diffrente, dtermine, dangereuse. 2;Roth, Veronica
70;DVD tous publics;112;Jimmy's Hall [Images animes];
72;DVD tous publics;111;Her [Images animes];
76;Livre adulte;110;Angor [Texte imprim];Thilliez, Franck
78;Livre adulte;109;Ca peut pas rater;Legardinier, Gilles
80;DVD tous publics;108;12 Years A Slave [Images animes];
99;;95;Berezina [Texte imprim] : en side-car avec Napolon;Tesson, Sylvain
101;;94;La vrit toute moche : grandir ou ne pas grandir, telle est la question !;Kinney, Jeff
103;DVD tous publics;92;Downton Abbey. Saison 3 [Images animes];
108;;90;Cinquante nuances plus sombres : roman;James, E.L.
115;DVD tous publics;88;Dallas Buyers Club [Images animes];
118;DVD tous publics;86;Samba [Images animes];
121;Livre ado;85;La rvolte;Collins, Suzanne
123;;85;Amours [Texte imprim] : roman;Rcondo, Lonor de
124;DVD tous publics;85;Un Homme trs recherch [Images animes];
126;Livre adulte;84;New York + Brooklyn [Texte imprim];Gloaguen, Philippe
129;Livre adulte;83;Le fils [Texte imprim] : roman;Meyer, Philipp
133;Nouveaut;82;Dans la ville en feu [Texte imprim] : roman;Connelly, Michael
142;Livre adulte;81;Amsterdam et ses environs [Texte imprim] : Rotterdam, Delft et La Haye;Gloaguen, Philippe
143;DVD tous publics;81;Downton Abbey [Images animes];
149;Nouveaut;79;Bad girl [Texte imprim] : classes de littrature;Huston, Nancy
153;DVD tous publics;78;Pas son genre [Images animes];
159;DVD tous publics;77;Only Lovers Left Alive [Images animes];
